"disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02","app_id","app_date","GOOD","BAD"
300,"SK",21,1.19,"R",1.03,543.5,19.22,1.03,53.66,7.79,0.94,15.5,505.58,0.0087860486,47.2421875,1.03,0,20.5899999999997,"5",2.68,212,"09JUL2005","1","0"
1,"SO",23,0.94,"R",1.06,802.5,21.04,1.01,31.76,3.48,1.61,6.64,414.89,0.3126287283,51.4375,1.08,0,0.579999999999714,"5",3.18,217,"09JUL2005","1","0"
0,"SA",23,4,"P",1.28833333333333,950,32,4,0,13,6,12,61,0.1053873827,47.828125,1,2,0,"3",1,200,"09JUL2005","1","0"
260,"SO",19,1.45,"R",1,394,5,1.13,23.34,10.2828571428571,1.19,14.6966666666667,139.95,0.0460027052,46.8984375,1,0,131.87,"5",2,211,"09JUL2005","1","0"
0,"SK",25,1.34,"P",1.45,3761.5,65,1,239.41,27,7,6,967.31,0.0617304108,91.125,1.25333333333333,0,0,"3",1.66,197,"09JUL2005","1","0"
0,"SD",19,1,"R",2,394.5,4,1,230,6.25,0,9.93,276.84,0.356764555,40.765625,2,1,11,"3",1,205,"09JUL2005","0","1"
2,"SO",21,1,"R",1.17,423,20.75,1.04,64.105,7.71,1.11,13.51,450.68,0.1879235147,74.875,1,0,46.69,"5",0,202,"09JUL2005","1","0"
1,"SO",31,0.98,"R",1.03,1268.5,40,1,43.74,4.03,0,6.69333333333333,491.27,0.258034437,38.53125,1.04,0,0,"3",3.02,236,"12JUL2005","1","0"
0,"SO",20,1,"P",1.01,361.5,6.772,1.02,3.82666666666666,14.335,1.43,15.16,92.8,0.1185319114,49.265625,1.04,0,5.44999999999961,"5",3.11,254,"12JUL2005","1","0"
1,"SA",22,4,"P",1.29,400,25,1,0,18,3.34,51,373,0.0271141469,38.984375,1,1,725,"3",0,231,"12JUL2005","1","0"
300,"SO",19,0.81,"P",1.22666666666667,374,14,1,19,11,0,34,110.865,0.0362955423,74.75,1,0,0,"3",1,235,"12JUL2005","1","0"
2,"SO",19,0.74,"P",1.15,229,16.8666666666667,1,73.33,6.89,0.55,12.2966666666667,244.86,0.1067439858,52.3515625,1,0,30.5399999999999,"5",0,230,"12JUL2005","1","0"
0,"SM",22,1,"P",1.3,1550.5,26.33,1.39,66.0716666666667,1,5,18.87,927.99,0,93,1,0,390.98,"5",1,247,"12JUL2005","0","1"
0,"SL",20,3,"P",1.16,2350,23,2,44.05,0,4.04,2,247,0,57.21875,1,1,1920,"3",1,245,"12JUL2005","1","0"
1000,"SL",26,0,"P",1.46,350,10,3,0,23,8,24,310,0.0258136083,29.3515625,1,0,0,"3",1,244,"12JUL2005","0","1"
1,"SD",23,1,"R",1.02,1112.5,23.34,1.11,48.6,3.02,1.33,8,496.03,0.0070633173,60.515625,1.05,0,1.93999999999971,"5",2.78,240,"12JUL2005","0","1"
0,"FT",26,0,"P",1.03,1160.75,25.46,1.16,23.94,10.27,3.45,13.21,457.78,0,51.722885742188,1.06,0,22.3799999999998,"4",2.58,226,"12JUL2005","0","1"
0,"SF",19,0.806666666666667,"R",1.02,486.5,22.0533333333333,1.02,54.6,6.02,0.57,10.335,330.08,0.3696014397,54.7421875,1.08,0,2.22999999999961,"5",2.27,250,"12JUL2005","1","0"
1,"SO",20,0.79,"P",1.04,247,12.5006666666667,1.03,43.5183333333333,7.65,0,12.37,168.7,0.2176024243,43.1328125,1,0,39.49,"5",1,275,"13JUL2005","0","1"
1,"SO",21,1.15,"P",1.09,950,10,1,30,28,3,10,255.47,0.2730471147,60.953125,1.06,0,0,"3",3.34,265,"13JUL2005","1","0"
0,"SO",18,1,"R",1.03,413.5,24.5833333333333,1.03,50.39,6.19,0.31,10.05,308.363333333333,0,52.816630859375,1.03,0,2.83999999999954,"4",2.2,273,"13JUL2005","0","1"
600,"SB",20,1.45,"R",1.08,562,16.1633333333333,1.08,30.69,11.0066666666667,1.53,21.68,268.906666666667,0.1916109626,71.09375,1.08,0,11.9199999999997,"5",2.76,277,"13JUL2005","0","1"
0,"SB",19,1,"P",1.12,325,11,1.23,40,4,3,4,235.62,0.1868432141,30.79296875,1.03,0,136.15,"5",2.16,263,"13JUL2005","0","1"
0,"SB",30,1.06,"R",1.24333333333333,1040.5,11,1,39.03,5.04,1.87,7.53,800.52,0.1345534017,74.3125,1,0,0,"3",1,274,"13JUL2005","1","0"
0,"SO",30,0,"R",1.37,1711.5,23.69,1.38,71.1,5.93,2.62,6.58,696.71,0.339156392,38.8125,1.01,0,299.26,"5",1.52,309,"14JUL2005","0","1"
0,"SH",19,1,"P",1.14,500,9,3,30,23,2,10,141.22,0,57.390625,1,1,0,"3",4,301,"14JUL2005","1","0"
0,"SF",17,0,"P",1.13,227.75,19.904,1.01666666666667,46.25,6,0,12,245.643333333333,0.0379615118,64.875,1.05,0,0.709999999999516,"5",1.96,311,"14JUL2005","1","0"
0,"SO",19,1,"P",1.17,250,12,1,1,22,1,10,55.67,0.0279518446,84.625,1,1,2,"3",1.0775,294,"14JUL2005","1","0"
500,"SB",21,1.37,"R",1,602.857142857143,3,1,28.65,6.53,1.83,14.36,302.455,0.6305130385,71.734375,1.19,0,0,"3",2.4,298,"14JUL2005","0","1"
1,"SO",19,2,"R",1.01,579.5,17.37,1.07,13.26,8.28,1.22,11.58,202.92,0.1207500766,67.140625,1.01,0,18.3499999999998,"5",3.06,289,"14JUL2005","1","0"
0,"SM",23,5,"R",1.41,100,13,2,0,11.58,3,25.12,277.54,0,35.234375,1,2,684,"3",1.2,308,"14JUL2005","1","0"
1,"SL",26,2.53,"P",1,3200,6,3,0,12.78,9,5,1735,0.049869619,56.9296875,1,2,960,"3",1,283,"14JUL2005","1","0"
1,"SO",19,0,"P",1,349.166666666667,5,2,89,12,2,16,187.645,0.0954345851,75.90625,1.08,0,0,"3",2.59,315,"14JUL2005","1","0"
0,"SF",18,0,"P",1,319.833333333333,2,1.186,25,14.5033333333333,0,16.89,75.22,0.0682869942,24.45703125,1,0,23.9799999999999,"5",0,304,"14JUL2005","1","0"
0,"SA",20,2,"R",1.06,442,14.88,1.07,21,13.13,1.39,19.52,159.85,0.0638384211,79.234375,1.11,0,3.67999999999974,"5",2.81,291,"14JUL2005","0","1"
2,"SA",21,1,"P",1.06,688,44,1,43.53,6.99,2,8.49333333333333,311.56,0.0916146927,37.7890625,1.07,0,0,"3",2.64,307,"14JUL2005","1","0"
0,"SB",18,0.69,"P",1.26,367.5,53,1,55.77,9,0,13,338.913333333333,0.4232385475,31.06640625,1.09,0,0,"3",1.53,286,"14JUL2005","1","0"
400,"FT",44,1.86,"R",1.27,2100,28,1.35,0,8.8,4.77,15.13,1210,0.1088483338,48.375,1.09,0,140.8,"5",1.92,295,"14JUL2005","1","0"
0,"SC",18,0,"P",1.11,345,13.95,1.11,19.69,11.01,0.0799999999999992,9,92.68,0,34.203125,1.05,0,5.44999999999969,"5",1.67,343,"15JUL2005","0","1"
1,"SA",21,1.22,"P",1.04,657.166666666667,13,1.06,1,3,1.55,13,309.11,0.0949819081,34.2265625,1.02,0,17.2799999999997,"5",3.04,345,"15JUL2005","1","0"
1,"SO",21,1.47,"P",1.06,529,15.69,1.1,6.49,21,2.02,13,208.68,0.2622215869,33.2578125,1.03,0,5.44999999999965,"5",3.33,341,"15JUL2005","1","0"
800,"SB",45,1.4,"R",1.42,250,18,2,40,13.12,6,18.64,465,0.2662298642,38.671875,1.13,0,89.6699999999999,"5",1.61,350,"15JUL2005","1","0"
11,"SD",18,1,"P",1.34,543,15,2,42.48,6.39,0.93,1,273.663333333333,0.3506224779,55.28125,1,1,0,"3",2,333,"15JUL2005","1","0"
0,"SA",19,1,"P",1.06,100,15,1,58.675,0,0,3,311.79,0,80.546875,1.07,0,0,"3",2.32,349,"15JUL2005","1","0"
0,"SB",18,1,"P",1.13,327.5,25.94,1.03,57.67,4,0.0399999999999993,5,279.273333333333,0,61.5899609375,1,0,27.4349999999999,"5",0,322,"15JUL2005","0","1"
